73	h5nc	4E							
58	609	0	0	4	0	0	35	18000	0
59	609	0	0	4	20	0	35	27000	0
60	609	0	0	4	0	0	25	0	0
61	609	0	0	4	20	0	25	9000	0
62	609	0	0	4	0	0	25	18000	0
63	609	0	0	4	20	0	25	27000	0
64	610	0	0	4	1	0	35	0	2
65	610	0	0	4	1	0	35	9000	2
66	610	0	0	4	1	0	35	18000	2
67	610	0	0	4	1	0	35	27000	2
68	610	0	0	4	21	0	25	0	2
69	610	0	0	4	21	0	25	9000	2
70	610	0	0	4	21	0	25	18000	2
71	610	0	0	4	21	0	25	27000	2
72	611	48	32	1	816	13500	0	0	2
73	611	400	32	1	836	-13500	0	0	2
74	611	48	448	1	816	4500	0	0	2
75	611	400	448	1	836	-4500	0	0	2
76	611	274	32	1	816	18000	0	0	2
77	611	174	32	1	836	18000	0	0	2
78	611	374	32	1	816	18000	0	0	2
79	611	74	32	1	836	18000	0	0	2
80	612	0	0	4	0	0	35	0	2
81	612	0	0	4	0	0	35	9000	2
82	612	0	0	4	0	0	35	18000	2
83	612	0	0	4	0	0	35	27000	2
84	612	0	0	4	20	0	25	0	2
85	612	0	0	4	20	0	25	9000	2
86	612	0	0	4	20	0	25	18000	2
87	612	0	0	4	20	0	25	27000	2
88	613	0	0	4	0	0	35	0	2
89	613	0	0	4	0	0	35	9000	2
90	613	0	0	4	0	0	35	18000	2
91	613	0	0	4	0	0	35	27000	2
92	613	0	0	4	20	0	25	0	2
93	613	0	0	4	20	0	25	9000	2
94	613	0	0	4	20	0	25	18000	2
95	613	0	0	4	20	0	25	27000	2
96	614	-15	20	1	14	0	0	0	0
97	614	15	20	1	34	0	0	0	0
98	614	-35	10	1	14	0	0	0	0
99	614	35	10	1	34	0	0	0	0
100	614	10	15	1	14	0	0	0	0
101	614	-10	15	1	34	0	0	0	0
102	614	5	15	1	14	0	0	0	0
103	614	-5	15	1	34	0	0	0	0
104	615	-15	-20	1	16	0	0	0	0
105	615	15	-20	1	36	0	0	0	0
106	615	-40	-20	1	16	0	0	0	0
107	615	40	-20	1	36	0	0	0	0
108	615	20	0	1	16	0	0	0	0
109	615	-20	0	1	36	0	0	0	0
110	615	50	0	1	16	0	0	0	0
111	615	-50	0	1	36	0	0	0	0
112	-1	0	0	0	0	0	0	0	0
113	-1	0	0	0	0	0	0	0	0
114	-1	0	0	0	0	0	0	0	0
115	-1	0	0	0	0	0	0	0	0
116	-1	0	0	0	0	0	0	0	0
117	-1	0	0	0	0	0	0	0	0
118	-1	0	0	0	0	0	0	0	0
119	-1	0	0	0	0	0	0	0	0
120	616	0	-25	1	2	0	0	0	2
121	616	0	-25	1	2	0	0	0	2
122	616	0	-25	1	2	0	0	0	2
123	616	0	-25	1	2	0	0	0	2
124	616	8	-25	1	2	0	0	0	2
125	616	-8	-25	1	2	0	0	0	2
126	616	24	-25	1	2	0	0	0	2
127	616	-24	-25	1	2	0	0	0	2
128	617	0	0	1	19E	0	0	0	0
129	617	0	0	1	1BE	0	0	0	0
130	617	0	0	1	19E	0	0	0	0
131	617	0	0	1	1BE	0	0	0	0
132	617	0	0	1	29C	0	0	0	0
133	617	0	0	1	2BC	0	0	0	0
134	617	0	0	1	29C	0	0	0	0
135	617	0	0	1	2BC	0	0	0	0
136	618	-32	0	1	16	0	0	0	0
137	618	32	0	1	36	0	0	0	0
138	618	0	-32	1	16	0	0	0	0
139	618	0	32	1	36	0	0	0	0
140	618	32	0	1	16	0	0	0	0
141	618	-32	0	1	36	0	0	0	0
142	618	0	32	1	16	0	0	0	0
143	618	0	-32	1	36	0	0	0	0
144	619	-15	-20	1	10	500	0	0	0
145	620	-15	-20	1	6	0	0	0	0
146	619	15	-20	1	30	-500	0	0	0
147	620	15	-20	1	6	0	0	0	0
148	619	0	0	1	210	0	0	0	0
149	620	0	0	1	206	500	0	0	0
150	619	0	0	1	230	0	0	0	0
151	620	0	0	1	206	-500	0	0	0
152	621	0	0	4	0	0	35	0	0
153	621	0	0	4	20	0	35	18000	0
154	621	0	0	4	0	0	25	9000	0
155	621	0	0	4	20	0	25	27000	0
156	621	0	0	4	0	0	25	0	0
157	621	0	0	4	20	0	25	18000	0
158	621	0	0	4	0	0	35	9000	0
159	621	0	0	4	20	0	35	27000	0
160	622	186.5	448	1	802	0	0	0	2
161	622	261.5	448	1	802	0	0	0	2
162	622	111.5	448	1	802	0	0	0	2
163	622	336.5	448	1	802	0	0	0	2
164	622	8	-25	1	2	0	0	0	2
165	622	-8	-25	1	2	0	0	0	2
166	622	24	-25	1	2	0	0	0	2
167	622	-24	-25	1	2	0	0	0	2
168	623	0	-40	1	403	0	0	0	2
169	623	0	-40	1	403	0	0	0	2
170	-1	-15	0	1	0	-600	0	0	2
171	-1	15	0	1	0	600	0	0	2
172	623	0	-40	1	403	0	0	0	2
173	623	0	-40	1	403	0	0	0	2
174	-1	-15	0	1	0	600	0	0	2
175	-1	15	0	1	0	-600	0	0	2
