73	h5nc	4D													
Comment	Index	UserID	SIID	TimeMod	Flag	Power	HitOnFactor	Arrange	Angle	Speed	Scale	Xbias	Ybias	AccelSpeed	SE
-	26	3	SI_PlayerBullet_03_1_0	8	1688	0.5	0	4	300	18	1.5	0	0	0	60
-	27	4	SI_PlayerBullet_04_0_0	6	1200	0.5	0	0	0	18	1	10	0	0	60
-	28	4	SI_PlayerBullet_04_0_0	6	1200	0.5	0	0	0	18	1	-10	0	0	60
-	29	4	SI_PlayerBullet_04_1_0	8	1732	0.2	0	1	0	18	1.5	0	0	0	60
-	30	4	SI_PlayerBullet_04_1_0	8	1732	0.2	0	2	0	18	1.5	0	0	0	60
-	31	4	SI_PlayerBullet_04_1_0	8	1734	0.2	0	3	0	18	1.5	0	0	0	60
-	32	4	SI_PlayerBullet_04_1_0	8	1734	0.2	0	4	0	18	1.5	0	0	0	60
-	33	5	SI_PlayerBullet_05_0_0	8	700	0.4	0	0	0	18	1.2	0	0	0	60
-	34	5	SI_PlayerBullet_05_0_0	8	700	0.3	0	0	-300	18	1.2	-5	5	0	60
-	35	5	SI_PlayerBullet_05_0_0	8	700	0.3	0	0	300	18	1.2	5	5	0	60
-	36	5	SI_PlayerBullet_05_1_0	8	700	0.2	0	1	-2000	18	1.2	0	0	0	60
-	37	5	SI_PlayerBullet_05_1_0	8	700	0.2	0	2	2000	18	1.2	0	0	0	60
-	38	5	SI_PlayerBullet_05_1_0	8	700	0.4	0	3	-1000	18	1.2	0	0	0	60
-	39	5	SI_PlayerBullet_05_1_0	8	700	0.4	0	4	1000	18	1.2	0	0	0	60
-	40	6	SI_PlayerBullet_06_0_0	6	1200	0.4	0	0	0	18	1	10	0	0	60
-	41	6	SI_PlayerBullet_06_0_0	6	1200	0.4	0	0	0	18	1	-10	0	0	60
-	42	6	SI_PlayerBullet_06_1_0	8	1718	0.4	0	1	500	18	1.2	0	0	0	60
-	43	6	SI_PlayerBullet_06_1_0	8	1718	0.4	0	2	500	18	1.2	0	0	0	60
-	44	6	SI_PlayerBullet_06_1_0	8	1718	0.4	0	3	500	18	1.2	0	0	0	60
-	45	6	SI_PlayerBullet_06_1_0	8	1718	0.4	0	4	500	18	1.2	0	0	0	60
-	46	7	SI_PlayerBullet_07_0_0	6	1208	0.4	0	0	250	18	1	10	0	0	60
-	47	7	SI_PlayerBullet_07_0_0	6	1208	0.4	0	0	250	18	1	-10	0	0	60
-	48	7	SI_PlayerBullet_07_1_0	8	1200	0.4	0	1	0	-12	0.8	0	0	1.5	60
-	49	7	SI_PlayerBullet_07_1_0	8	1200	0.4	0	2	0	-12	0.8	0	0	1.5	60
-	50	7	SI_PlayerBullet_07_1_0	8	1200	0.4	0	3	0	-12	0.8	0	0	1.5	60
-	51	7	SI_PlayerBullet_07_1_0	8	1200	0.4	0	4	0	-12	0.8	0	0	1.5	60
-	52	8	SI_PlayerBullet_08_0_0	8	1700	0.6	0	0	0	18	1	10	0	0	60
-	53	8	SI_PlayerBullet_08_0_0	8	1700	0.6	0	0	0	18	1	-10	0	0	60
-	54	8	SI_PlayerBullet_08_1_0	6	1700	0.4	0	1	0	18	1	0	0	0	60
-	55	8	SI_PlayerBullet_08_1_0	6	1700	0.4	0	2	18000	18	1	0	0	0	60
-	56	8	SI_PlayerBullet_08_1_0	6	1700	0.4	0	3	0	18	1	0	0	0	60
-	57	8	SI_PlayerBullet_08_1_0	6	1700	0.4	0	4	18000	18	1	0	0	0	60
-	58	9	SI_PlayerBullet_09_0_0	8	1600	0.45	0	0	0	18	1	10	0	0	60
-	59	9	SI_PlayerBullet_09_0_0	8	1600	0.45	0	0	0	18	1	-10	0	0	60
-	60	9	SI_PlayerBullet_09_1_0	8	1712	0.18	0	1	0	18	1	0	0	0	60
-	61	9	SI_PlayerBullet_09_1_0	8	1712	0.18	0	2	0	18	1	0	0	0	60
-	62	9	SI_PlayerBullet_09_1_0	8	1712	0.18	0	3	0	18	1	0	0	0	60
-	63	9	SI_PlayerBullet_09_1_0	8	1712	0.18	0	4	0	18	1	0	0	0	60
-	64	10	SI_PlayerBullet_10_0_0	8	1700	0.5	0	0	0	18	1	10	0	0	60
-	65	10	SI_PlayerBullet_10_0_0	8	1700	0.5	0	0	0	18	1	-10	0	0	60
-	66	10	SI_PlayerBullet_10_1_0	6	1700	0.55	0	1	-7500	18	1	0	0	0	60
-	67	10	SI_PlayerBullet_10_1_0	6	1700	0.55	0	2	-10500	18	1	0	0	0	60
-	68	10	SI_PlayerBullet_10_1_0	6	1700	0.55	0	3	7500	18	1	0	0	0	60
-	69	10	SI_PlayerBullet_10_1_0	6	1700	0.55	0	4	10500	18	1	0	0	0	60
-	70	11	SI_PlayerBullet_11_0_0	6	1700	0.5	0	0	0	18	1	10	0	0	60
-	71	11	SI_PlayerBullet_11_0_0	6	1700	0.5	0	0	0	18	1	-10	0	0	60
-	72	11	SI_PlayerBullet_11_1_0	6	1700	0.45	0	1	-3500	18	1	0	0	0	60
-	73	11	SI_PlayerBullet_11_1_0	6	1700	0.45	0	2	18000	18	1	0	0	0	60
-	74	11	SI_PlayerBullet_11_1_0	6	1700	0.45	0	3	3500	18	1	0	0	0	60
-	75	11	SI_PlayerBullet_11_1_0	6	1700	0.45	0	4	18000	18	1	0	0	0	60
-	76	12	SI_PlayerBullet_12_0_0	8	1700	0.4	0	0	0	18	1	10	0	0	60
-	77	12	SI_PlayerBullet_12_0_0	8	1700	0.4	0	0	0	18	1	-10	0	0	60
-	78	12	SI_PlayerBullet_12_1_0	8	712	0.18	0	1	0	18	1	0	0	0	60
-	79	12	SI_PlayerBullet_12_1_0	8	712	0.18	0	2	0	18	1	0	0	0	60
-	80	12	SI_PlayerBullet_12_1_0	8	712	0.18	0	3	0	18	1	0	0	0	60
-	81	12	SI_PlayerBullet_12_1_0	8	712	0.18	0	4	0	18	1	0	0	0	60
-	82	13	SI_PlayerBullet_13_0_0	8	1710	0.4	0	0	0	18	1	10	0	0	60
-	83	13	SI_PlayerBullet_13_0_0	8	1710	0.4	0	0	0	18	1	-10	0	0	60
-	84	13	SI_PlayerBullet_13_1_0	6	1718	0.32	0	1	1200	18	1.5	0	0	0	60
-	85	13	SI_PlayerBullet_13_1_0	6	1718	0.32	0	2	1200	18	1.5	0	0	0	60
-	86	13	SI_PlayerBullet_13_1_0	6	1718	0.32	0	3	1200	18	1.5	0	0	0	60
-	87	13	SI_PlayerBullet_13_1_0	6	1718	0.32	0	4	1200	18	1.5	0	0	0	60
-	88	14	SI_PlayerBullet_14_0_0	32	A00	0.4	0	0	0	18	2	0	0	0	61
-	90	15	SI_PlayerBullet_15_0_0	1	1	0.1	0	0	0	18	32	0	16	2	0
-	91	15	SI_PlayerBullet_15_0_0	1	1	0.1	0	0	0	18	32	0	-10	2	0
-	92	15	SI_PlayerBullet_15_1_0	8	1200	0.4	0	1	0	18	1	0	0	0	60
-	93	15	SI_PlayerBullet_15_1_0	8	1200	0.4	0	2	0	18	1	0	0	0	60
-	94	15	SI_PlayerBullet_15_1_0	8	1200	0.4	0	3	0	18	1	0	0	0	60
-	95	15	SI_PlayerBullet_15_1_0	8	1200	0.4	0	4	0	18	1	0	0	0	60
-	96	16	SI_PlayerBullet_16_0_0	6	1200	0.5	0	0	0	18	1	10	0	0	60
-	97	16	SI_PlayerBullet_16_0_0	6	1200	0.5	0	0	0	18	1	-10	0	0	60
-	98	16	SI_PlayerBullet_16_1_0	8	1080	0.4	0	1	0	18	1.5	0	0	0	60
-	99	16	SI_PlayerBullet_16_1_0	8	1080	0.4	0	2	0	18	1.5	0	0	0	60
-	100	16	SI_PlayerBullet_16_1_2	8	1080	0.4	0	3	0	18	1.5	0	0	0	60
-	101	16	SI_PlayerBullet_16_1_2	8	1080	0.4	0	4	0	18	1.5	0	0	0	60
-	102	17	SI_PlayerBullet_17_0_0	6	1200	0.5	0	0	0	18	1	10	0	0	60
-	103	17	SI_PlayerBullet_17_0_0	6	1200	0.5	0	0	0	18	1	-10	0	0	60
-	104	17	SI_PlayerBullet_17_1_0	8	1734	0.2	0	1	0	18	1	0	0	0	60
-	105	17	SI_PlayerBullet_17_1_0	8	1734	0.2	0	2	0	18	1	0	0	0	60
-	106	17	SI_PlayerBullet_17_1_0	8	1712	0.2	0	3	0	18	1	0	0	0	60
-	107	17	SI_PlayerBullet_17_1_0	8	1712	0.2	0	4	0	18	1	0	0	0	60
-	108	18	SI_PlayerBullet_18_0_0	8	1200	0.6	0	0	0	18	1	10	0	0	60
-	109	18	SI_PlayerBullet_18_0_0	8	1200	0.6	0	0	0	18	1	-10	0	0	60
-	110	18	SI_PlayerBullet_18_1_0	8	1200	0.4	0	1	0	18	1	0	0	0	60
-	111	18	SI_PlayerBullet_18_1_0	8	1200	0.4	0	2	0	18	1	0	0	0	60
-	112	18	SI_PlayerBullet_18_1_0	8	1200	0.4	0	3	0	18	1	0	0	0	60
-	113	18	SI_PlayerBullet_18_1_0	8	1200	0.4	0	4	0	18	1	0	0	0	60
-	114	19	SI_PlayerBullet_19_0_0	6	1700	0.25	0	0	0	18	1	10	0	0	60
-	115	19	SI_PlayerBullet_19_0_0	6	1700	0.25	0	0	0	18	1	-10	0	0	60
-	116	19	SI_PlayerBullet_19_1_0	6	1700	0.25	0	1	0	18	1.5	0	0	0	60
-	117	19	SI_PlayerBullet_19_1_0	6	1700	0.25	0	2	0	18	1.5	0	0	0	60
-	118	19	SI_PlayerBullet_19_1_0	6	1700	0.25	0	3	0	18	1.5	0	0	0	60
-	119	19	SI_PlayerBullet_19_1_0	6	1700	0.25	0	4	0	18	1.5	0	0	0	60
-	120	20	SI_PlayerBullet_20_0_0	8	1200	0.9	0	0	0	18	1	10	0	0	60
-	121	20	SI_PlayerBullet_20_0_0	8	1200	0.9	0	0	0	18	1	-10	0	0	60
-	122	20	SI_PlayerBullet_20_1_0	1	1	0.15	0	1	0	18	32	0	0	4	60
-	123	20	SI_PlayerBullet_20_1_0	1	1	0.15	0	2	0	18	32	0	0	4	0
-	124	20	SI_PlayerBullet_20_1_0	1	1	0.15	0	3	0	18	32	0	0	4	0
-	125	20	SI_PlayerBullet_20_1_0	1	1	0.15	0	4	0	18	32	0	0	4	0
-	126	21	SI_PlayerBullet_21_0_0	6	1200	0.35	0	0	0	18	1	10	0	0	0
-	127	21	SI_PlayerBullet_21_0_0	6	1200	0.35	0	0	0	18	1	-10	0	0	60
-	128	21	SI_PlayerBullet_21_1_0	6	1200	0.3	0	1	0	18	1	0	0	0	60
-	129	21	SI_PlayerBullet_21_1_0	6	1200	0.3	0	2	0	18	1	0	0	0	60
-	130	21	SI_PlayerBullet_21_1_0	6	1200	0.2	0	3	0	18	1	0	0	0	60
-	131	21	SI_PlayerBullet_21_1_0	6	1200	0.2	0	4	0	18	1	0	0	0	60
-	160	9	SI_PlayerBullet_9_0_0	0	1608	0.45	0	0	2000	18	1.25	48	0	0	60
-	161	9	SI_PlayerBullet_9_0_0	0	1608	0.45	0	0	2000	18	1.25	-48	0	0	60
-	162	14	SI_PlayerBullet_14_0_0	0	A08	0.02	0	0	2500	18	2	60	-5	0	61
-	163	14	SI_PlayerBullet_14_0_0	0	A08	0.02	0	0	2500	18	2	-60	-5	0	61
-	164	14	SI_PlayerBullet_14_0_0	0	A08	0.02	0	0	2500	18	2	20	-5	0	61
-	165	14	SI_PlayerBullet_14_0_0	0	A08	0.02	0	0	2500	18	2	-20	-5	0	61
-	166	15	SI_PlayerBullet_24_0_0	0	1218	2.5	0	0	2000	-8	1	0	-480	0	60
-	167	15	SI_PlayerBullet_24_1_0	0	1218	4	0	0	2000	-8	1	0	-480	0	60
